[2026-04-20 18:22:02,409] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:02] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:22:12,584] INFO in routes: Stored 4 mouse traces for user demo_student/discord
[2026-04-20 18:22:12,586] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:12] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:22:23,690] INFO in routes: Stored 5 mouse traces for user demo_student/discord
[2026-04-20 18:22:23,693] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:23] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:22:33,909] INFO in routes: Stored 4 mouse traces for user demo_student/discord
[2026-04-20 18:22:33,912] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:33] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:22:35,505] INFO in routes: Tab event: tab_visible for user demo_student/discord
[2026-04-20 18:22:35,505] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:35] "POST /log/tab_event HTTP/1.1" 200 -
[2026-04-20 18:22:36,129] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:36] "GET /?userid=demo_student HTTP/1.1" 200 -
[2026-04-20 18:22:36,584] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:36] "GET /static/favicon.ico HTTP/1.1" 200 -
[2026-04-20 18:22:36,671] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:36] "GET /static/lti/app-lazy.js HTTP/1.1" 200 -
[2026-04-20 18:22:36,815] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:36] "GET /frontend/core/ajax.js HTTP/1.1" 200 -
[2026-04-20 18:22:36,815] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:36] "GET /frontend/core/localstorage.js HTTP/1.1" 200 -
[2026-04-20 18:22:36,880] INFO in routes: Starting new conversation (en) for user: demo_student - discord
[2026-04-20 18:22:36,887] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:36] "GET /user_role/ HTTP/1.1" 200 -
[2026-04-20 18:22:36,897] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:22:36] "GET /user_language/?userid=demo_student&client=standalone HTTP/1.1" 200 -
[2026-04-20 18:22:36,900] INFO in core: Created new user (en): demo_student - discord
[2026-04-20 18:22:36,923] INFO in llm: System Prompt: You are an interviewer conducting an interview that will be evaluated scientifically. Your tone should be friendly but neutral. Refer back to the user's answers, but do not comment positively or negatively on them. You are guiding a student through an interview to assess their study skills. Start the conversation with a friendly greeting. Ask the student which subject the degree they are studying is about.
[2026-04-20 18:22:36,924] INFO in llm: User Prompt: None
[2026-04-20 18:22:36,924] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:22:36,944] INFO in llm: Ollama raw response: {'error': "model 'llama:latest' not found"}
[2026-04-20 18:22:36,945] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:22:36,956] INFO in llm: Ollama raw response: {'error': "model 'llama:latest' not found"}
[2026-04-20 18:22:36,956] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:22:36,967] INFO in llm: Ollama raw response: {'error': "model 'llama:latest' not found"}
[2026-04-20 18:22:36,967] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:22:36,975] INFO in llm: Ollama raw response: {'error': "model 'llama:latest' not found"}
[2026-04-20 18:22:36,976] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:22:36,978] INFO in llm: Ollama raw response: {'error': "model 'llama:latest' not found"}
[2026-04-20 18:22:36,979] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:22:36,982] INFO in llm: Ollama raw response: {'error': "model 'llama:latest' not found"}
[2026-04-20 18:22:36,983] INFO in llm: @llm: response::: 
